2016-4-17-16h23m18s
Name,Ticker,Bid,Ask,Prev Close,Open,Volume,Avg Vol (3 month),Avg Vol (10 day),Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Dividend Date,Ex-Dividend Date,Beta,52-Week Change,S&P500 52-Week Change,52-Week High,52-Week Low,50-Day Moving Average,200-Day Moving Average,Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Fiscal Year Ends,Most Recent Quarter,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Net Income Avl to Common,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Last Split Factor,Last Split Date,Earnings Date
Cenovus Energy Inc.,CVE.TO,17.22,17.24,17.83,17.54,"999,529","2,456,070","1,602,020",0.64,3.57%,3.60%,3.34%,112.92%,"Mar 31, 2016","Mar 11, 2016",0.84,-25.80%,-0.94%,23.95,12.74,16.90,17.99,833290000.0,832020000.0,N/A,N/A,14320000.0,5.53,N/A,14360000000.0,16780000000.000002,22.97,N/A,0.43,1.14,1.20,1.28,8.68,Dec 31,"Dec 31, 2015",4.73%,-3.41%,-1.10%,5.48%,13060000000.0,15.96,-31.00%,N/A,1930000000.0,618000000.0,0.75,N/A,4099999999.9999995,4.93,6520000000.0,52.66,3.48,14.87,1470000000.0,35250000.0,N/A,N/A,N/A
Sierra Wireless Inc.,SW.TO,19.85,20.12,20.37,20.21,"38,360","79,465","69,038",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.77,-55.73%,-0.94%,46.91,13.57,18.57,22.04,32119999.999999996,31460000.0,N/A,N/A,1470000.0,20.87,0.44%,639860000.0,545430000.0,N/A,18.97,1.19,1.08,1.82,0.90,16.42,Dec 31,"Dec 31, 2015",-0.44%,2.14%,1.53%,-0.75%,607800000.0,18.90,-2.80%,N/A,33229999.999999996,-2670000.0,-0.08,N/A,93940000.0,2.93,0.0,N/A,1.98,11.16,14530000.0,-8070000.0,1:1,"May 16, 2011",N/A
BlackBerry Limited,BB.TO,9.07,9.08,9.10,9.10,"927,758","1,653,540","1,238,150",N/A,N/A,N/A,N/A,N/A,N/A,"Sep 8, 1999",1.40,-25.96%,-0.94%,13.28,7.99,10.09,10.15,521169999.99999994,524870000.0,N/A,N/A,26780000.0,17.78,1.94%,4730000000.0,3790000000.0,201.56,N/A,-0.77,2.03,1.39,1.61,8.31,Feb 28,"Nov 28, 2015",2.46%,-8.28%,-1.97%,1.71%,2360000000.0,4.47,-30.90%,N/A,456000000.0,58000000.0,0.05,N/A,2300000000.0,4.37,1320000000.0,38.13,2.74,6.57,467000000.0,677250000.0,3:1,"Aug 15, 2007",Jun 21 - Jun 27 (Est.)
Element Financial Corporation,EFN.TO,14.58,14.63,14.61,14.54,"760,925","1,912,340","1,060,280",0.10,0.68%,0.30%,N/A,5.32%,"Apr 15, 2016","Mar 29, 2016",0.47,-15.98%,-0.94%,20.47,11.47,14.52,15.81,386140000.0,376440000.0,N/A,N/A,9790000.0,2.99,N/A,5650000000.0,23050000000.0,46.56,7.54,0.17,9.52,1.16,38.92,N/A,Dec 31,"Sep 30, 2015",19.77%,50.15%,0.69%,2.89%,592270000.0,2.16,65.80%,N/A,N/A,88820000.0,0.31,N/A,63290000.0,0.16,17470000000.0,324.94,29.00,12.56,69340000.0,N/A,N/A,N/A,N/A
Atlantic Power Corporation,ATP.TO,3.08,3.14,3.15,3.13,"40,109","84,627","55,138",0.12,3.81%,1.90%,9.92%,N/A,"Dec 31, 2015","Nov 26, 2015",3.01,-15.49%,-0.94%,4.10,2.19,2.91,2.67,122150000.0,105220000.0,N/A,N/A,168520.0,2.08,0.15%,379900000.0,1370000000.0,25.70,N/A,0.45,0.74,1.19,2.62,7.32,Dec 31,"Sep 30, 2015",2.99%,6.22%,0.82%,-6.04%,521000000.0,4.29,-11.60%,N/A,186700000.0,-25900000.0,0.12,N/A,76400000.0,0.63,1060000000.0,195.24,1.52,2.65,86800000.0,67510000.0,N/A,N/A,N/A
Hydro One Limited,H.TO,23.33,23.39,23.43,23.39,"746,668","455,078","1,674,560",N/A,N/A,1.50%,N/A,N/A,"Mar 31, 2016",N/A,N/A,N/A,-0.94%,24.50,21.53,23.70,22.83,595000000.0,93650000.0,N/A,N/A,N/A,N/A,N/A,13910000000.0,24030000000.0,16.82,18.70,4.44,2.13,1.48,3.68,13.04,Dec 31,"Dec 31, 2015",10.75%,18.26%,3.18%,7.98%,6540000000.0,13.17,-8.40%,N/A,1840000000.0,690000000.0,1.39,-35.30%,94000000.0,0.16,10220000000.0,102.93,0.39,15.85,-1250000000.0,-320620000.0,N/A,N/A,N/A
NovaGold Resources Inc.,NG.TO,7.65,7.70,7.52,7.55,"356,756","453,200","564,625",N/A,N/A,N/A,N/A,N/A,N/A,"Jun 28, 1999",2.38,70.73%,-0.94%,8.07,3.42,6.92,5.81,319700000.0,175280000.0,N/A,3.80%,6080000.0,12.50,2.93%,2460000000.0,2410000000.0,N/A,N/A,N/A,N/A,7.26,NaN,-119.11,Nov 30,"Nov 30, 2015",N/A,N/A,-2.65%,-8.70%,N/A,N/A,N/A,N/A,-20250000.0,-31950000.0,-0.10,N/A,126730000.0,0.40,80260000.0,24.37,36.98,1.04,-11430000.0,-6570000.0,1:10,"Dec 17, 1997",Jul 5 - Jul 11 (Est.)
Silver Wheaton Corp.,SLW.TO,21.89,21.90,21.60,21.66,"1,814,282","1,890,940","1,951,760",0.26,1.20%,1.20%,1.18%,N/A,"Apr 14, 2016","Mar 29, 2016",2.16,-8.10%,-0.94%,25.20,14.51,22.13,18.85,401760000.0,403190000.0,N/A,N/A,6270000.0,3.80,N/A,8800000000.0,9410000000.0,142.21,32.69,-17.63,14.82,2.01,15.99,23.99,Dec 31,"Sep 30, 2015",10.07%,37.43%,2.86%,1.49%,588570000.0,1.53,-7.60%,N/A,392280000.0,59250000.0,0.15,N/A,80510000.0,0.20,647000000.0,14.90,4.93,10.74,392090000.0,-593840000.0,1:5,"Dec 21, 2004",N/A
Chartwell Retirement Residences,CSH-UN.TO,13.89,13.91,13.92,13.95,"218,857","497,306","310,429",0.56,4.04%,3.90%,5.23%,797.79%,"Apr 15, 2016","Mar 29, 2016",0.50,7.27%,-0.94%,13.96,10.60,11.33,12.00,178220000.0,174480000.0,N/A,N/A,3850000.0,12.16,N/A,2500000000.0,3980000000.0,7.09,N/A,N/A,2.78,3.35,4.50,17.78,Dec 31,"Sep 30, 2015",39.06%,9.65%,2.09%,3.09%,884360000.0,5.01,6.40%,N/A,223650000.0,18540000.0,1.96,N/A,9970000.0,0.06,1540000000.0,209.28,0.16,4.16,108360000.0,131090000.0,N/A,N/A,N/A
Progressive Waste Solutions Ltd.,BIN.TO,39.23,39.51,39.54,38.99,"209,956","671,016","330,312",0.68,1.72%,1.70%,2.17%,42.71%,"Apr 15, 2016","Dec 29, 2015",-0.22,13.72%,-0.94%,41.96,27.00,40.42,35.66,108810000.0,108250000.0,5.10%,79.50%,449090.0,1.72,N/A,4280000000.0000005,5820000000.0,35.16,28.74,4.42,2.23,3.81,3.02,12.10,Dec 31,"Dec 31, 2015",6.43%,11.23%,4.08%,10.51%,1930000000.0,17.43,-4.10%,N/A,480970000.0,123880000.0,1.12,141.50%,35780000.0,0.33,1570000000.0,139.29,0.92,10.38,415020000.0,109020000.0,N/A,N/A,N/A
Mitel Networks Corporation,MNW.TO,9.06,9.17,10.08,9.46,"3,765,754","180,581","640,200",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.91,-21.06%,-0.94%,12.61,8.43,9.86,10.18,120310000.0,88840000.0,N/A,N/A,1640000.0,10.99,2.25%,1100000000.0,1650000000.0,N/A,8.68,1.41,1.05,1.97,1.43,11.50,Dec 31,"Dec 31, 2015",-1.79%,3.84%,1.77%,-3.90%,1160000000.0,9.62,13.50%,N/A,143500000.0,-20700000.0,-0.17,N/A,91600000.0,0.76,645300000.0,104.93,1.51,5.11,54600000.0,129500000.0,N/A,N/A,N/A
CAE Inc.,CAE.TO,14.80,14.88,14.57,14.56,"1,325,623","720,992","552,625",0.30,2.06%,2.00%,1.67%,32.26%,"Mar 31, 2016","Mar 11, 2016",0.11,0.68%,-0.94%,15.72,13.04,14.91,14.84,269910000.0,269580000.0,N/A,N/A,874210.0,1.22,N/A,4000000000.0,4800000000.0,16.91,16.30,1.58,1.62,2.08,1.98,10.20,Mar 31,"Dec 31, 2015",9.70%,12.05%,3.82%,13.94%,2420000000.0,9.04,10.20%,N/A,470300000.0,241400000.0,0.88,8.90%,541400000.0,2.01,1340000000.0,68.69,1.43,7.00,455400000.0,386890000.0,2:1,"Jul 5, 2001",N/A
Canadian Western Bank,CWB.TO,25.54,25.63,25.89,25.85,"198,701","540,868","463,550",0.92,3.55%,3.50%,2.38%,34.10%,"Mar 31, 2016","Mar 15, 2016",1.66,-16.30%,-0.94%,31.67,19.26,23.90,23.59,81810000.0,77690000.0,N/A,N/A,3340000.0,6.41,N/A,2089999999.9999998,2790000000.0,6.44,9.27,2.19,3.59,1.17,4.80,N/A,Oct 31,"Oct 31, 2015",56.03%,49.43%,0.99%,11.92%,580410000.0,7.22,0.80%,N/A,N/A,208060000.0,3.97,-8.40%,466670000.0,5.80,1190000000.0,N/A,N/A,22.18,-1600000000.0,N/A,2:1,"Jan 9, 2007",N/A
GMP Capital Inc.,GMP.TO,4.94,4.96,4.95,4.94,"3,300","55,618","15,025",N/A,N/A,3.00%,3.95%,N/A,"Dec 31, 2015","Dec 11, 2015",0.97,-7.81%,-0.94%,5.46,3.50,4.64,4.26,67900000.0,42480000.0,N/A,N/A,3510000.0,65.89,N/A,336790000.0,-271780000.0,N/A,16.53,14.14,1.43,1.41,-1.15,N/A,Dec 31,"Sep 30, 2015",-8.19%,-5.03%,-1.01%,-5.80%,236150000.0,3.51,-21.10%,N/A,N/A,-25670000.0,-0.38,N/A,612540000.0,9.01,3440000.0,0.98,1.12,3.51,39230000.0,N/A,2:1,"Dec 1, 2005",N/A
Kelt Exploration Ltd.,KEL.TO,3.81,3.87,3.93,3.88,"468,936","1,396,640","1,332,920",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.56,-57.44%,-0.94%,9.95,2.51,3.91,4.22,173390000.0,140040000.0,N/A,N/A,11960000.0,7.19,N/A,664100000.0,793290000.0,N/A,N/A,N/A,3.89,0.71,4.66,11.43,Dec 31,"Sep 30, 2015",-26.30%,-38.36%,-3.74%,-5.77%,170400000.0,1.18,-21.20%,N/A,69390000.0,-44810000.0,-0.31,N/A,567000.0,0.00,148110000.0,15.76,0.46,5.57,80040000.0,-129380000.0,N/A,N/A,May 12 - May 16 (Est.)
Tourmaline Oil Corp.,TOU.TO,26.31,26.50,26.61,26.21,"338,520","905,092","727,075",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.25,-37.19%,-0.94%,43.35,20.83,27.15,26.44,231790000.0,184660000.0,N/A,N/A,10710000.0,12.81,N/A,6110000000.0,6970000000.0,17.85,33.37,30.96,5.52,1.14,6.55,7.74,Dec 31,"Sep 30, 2015",29.20%,21.39%,2.12%,6.87%,1060000000.0,5.09,-11.80%,N/A,899750000.0,310660000.0,1.48,-57.70%,N/A,N/A,1140000000.0,22.14,0.44,23.29,807980000.0,-1250000000.0,N/A,N/A,Apr 27 - May 2 (Est.)
Canfor Pulp Products Inc.,CFX.TO,10.83,10.97,10.92,10.85,"8,263","43,486","19,000",0.25,2.29%,12.60%,5.21%,16.44%,"Mar 8, 2016","Feb 26, 2016",0.73,-27.05%,-0.94%,16.37,9.05,11.71,12.25,68950000.0,32100000.0,N/A,N/A,24210.0,0.37,N/A,749510000.0,782010000.0,7.15,9.06,N/A,0.64,1.57,0.67,3.82,Dec 31,"Dec 31, 2015",9.07%,11.89%,10.47%,22.00%,1170000000.0,16.76,25.30%,N/A,204900000.0,106600000.0,1.52,43.50%,17500000.0,0.25,50000000.0,10.42,2.14,6.96,145400000.0,38280000.0,N/A,N/A,Apr 26 - May 2 (Est.)
Keyera Corp.,KEY.TO,38.87,39.11,39.98,39.64,"392,625","444,619","364,350",1.50,3.75%,3.70%,3.72%,119.09%,"May 16, 2016","Mar 18, 2016",1.19,-13.25%,-0.94%,46.52,32.87,38.92,38.85,172440000.0,169710000.0,N/A,N/A,384470.0,1.29,N/A,6710000000.0,8320000000.0,32.78,20.71,4.64,2.73,4.91,3.30,12.62,Dec 31,"Dec 31, 2015",8.01%,19.04%,7.36%,14.87%,2520000000.0,14.84,-33.70%,N/A,659180000.0,201920000.0,1.19,-31.20%,13450000.0,0.08,1630000000.0,116.62,0.87,8.14,648160000.0,-151840000.0,2:1,"Apr 6, 2015",N/A
Gildan Activewear Inc.,GIL.TO,39.18,39.22,39.03,38.92,"504,142","737,762","608,975",0.36,0.92%,0.90%,0.82%,26.76%,"Apr 4, 2016","Nov 25, 2015",0.68,1.08%,-0.94%,45.73,31.24,38.14,38.07,238980000.0,242540000.0,N/A,N/A,24410000.0,33.46,14.33%,9370000000.0,9560000000.0,27.68,21.30,1.59,3.71,4.34,3.72,19.38,Jan 3,"Jan 3, 2016",13.48%,14.75%,N/A,N/A,2570000000.0,10.59,39.20%,N/A,493210000.0,346110000.0,1.42,N/A,N/A,N/A,N/A,N/A,5.38,8.99,282900000.0,N/A,2:1,"Mar 30, 2015",N/A
BROOKFIELD PROPERTY PARTNERS LP,BPY-UN.TO,30.05,30.23,30.12,30.15,"85,150",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pretium Resources Inc.,PVG.TO,8.26,8.31,8.25,8.27,"699,810","643,583","740,225",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.20,16.11%,-0.94%,9.00,5.57,7.16,7.28,173450000.0,111160000.0,N/A,N/A,898720.0,1.26,N/A,1440000000.0,1180000000.0,N/A,46.06,N/A,N/A,1.25,NaN,-90.37,Dec 31,"Sep 30, 2015",N/A,N/A,-0.74%,-1.33%,N/A,N/A,N/A,N/A,-13060000.0,-11380000.0,-0.09,N/A,453230000.0,3.14,434910000.0,46.60,12.14,6.61,-6770000.0,-132250000.0,N/A,N/A,May 13 - May 17 (Est.)
Turquoise Hill Resources Ltd.,TRQ.TO,3.50,3.54,3.56,3.53,"450,504","1,151,030","742,588",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.27,-28.28%,-0.94%,5.80,2.30,3.46,3.35,2009999999.9999998,873560000.0,N/A,N/A,2130000.0,1.84,2.89%,7040000000.0,5750000000.0,25.00,N/A,N/A,3.86,0.86,3.09,7.79,Dec 31,"Sep 30, 2015",15.16%,16.81%,2.39%,2.65%,1860000000.0,0.92,-12.20%,N/A,737740000.0,172080000.0,0.14,N/A,1310000000.0,0.65,13700000.0,0.18,6.36,4.14,877080000.0,541480000.0,N/A,N/A,May 9 - May 13 (Est.)
Laurentian Bank of Canada,LB.TO,47.65,47.80,47.68,47.69,"59,734","117,906","66,875",2.32,4.87%,4.80%,4.12%,65.43%,"May 1, 2016","Mar 30, 2016",0.54,-1.95%,-0.94%,55.82,42.42,47.23,49.16,30320000.0,28880000.0,26.62%,34.50%,1110000.0,9.65,N/A,1450000000.0,3630000000.0,14.87,N/A,N/A,1.60,1.01,4.21,N/A,Oct 31,"Oct 31, 2015",11.88%,25.14%,0.27%,6.54%,862230000.0,29.78,5.40%,N/A,N/A,92870000.0,3.21,N/A,6110000000.0,211.10,8369999999.999999,N/A,N/A,47.22,-2280000000.0,N/A,N/A,N/A,N/A
First Quantum Minerals Ltd.,FM.TO,7.14,7.15,7.18,6.86,"5,201,648","9,505,030","7,494,100",0.04,0.60%,0.60%,0.95%,N/A,"May 4, 2016","Apr 11, 2016",4.84,-57.04%,-0.94%,19.83,2.15,6.89,5.51,689330000.0,672080000.0,N/A,N/A,38630000.0,2.93,N/A,4920000000.0,9560000000.0,N/A,17.85,1.68,1.81,0.51,3.55,13.30,Dec 31,"Dec 31, 2015",-18.38%,5.41%,0.50%,-5.89%,2700000000.0,4.17,-6.80%,N/A,719000000.0,-496000000.0,-0.77,-74.80%,365000000.0,0.54,5060000000.0,47.60,1.97,14.03,1190000000.0,-821250000.0,5:1,"Aug 9, 2011",N/A
Boardwalk Real Estate Investment Trust,BEI-UN.TO,54.05,54.23,54.20,54.01,"124,663","94,566","82,586",2.25,4.15%,6.40%,3.37%,367.11%,"Apr 15, 2016","Apr 27, 2016",0.35,-8.94%,-0.94%,71.40,53.79,58.58,59.84,46520000.0,28860000.0,N/A,N/A,911480.0,3.68,N/A,2760000000.0,4820000000.0,N/A,N/A,N/A,5.84,0.87,10.11,18.65,Dec 31,"Dec 31, 2015",6.06%,53.17%,2.68%,0.88%,476150000.0,10.04,-3.50%,N/A,258140000.0,28850000.0,-0.40,N/A,237020000.0,4.62,2270000000.0,70.78,0.62,62.56,172220000.0,75910000.0,2:1,"Nov 27, 1997",N/A
Home Capital Group Inc.,HCG.TO,37.33,37.54,36.83,36.66,"236,484","317,529","192,362",0.96,2.61%,2.40%,1.72%,21.54%,"Mar 1, 2016","Feb 19, 2016",1.33,-18.42%,-0.94%,49.34,22.87,35.64,31.17,69970000.0,63600000.0,N/A,N/A,2490000.0,8.63,N/A,2630000000.0,4350000000.0,9.17,7.78,0.70,4.49,1.59,7.58,N/A,Dec 31,"Dec 31, 2015",50.06%,67.51%,1.42%,18.72%,573890000.0,8.18,-13.10%,N/A,N/A,287290000.0,4.09,-26.80%,1210000000.0,17.36,2940000000.0,181.20,1.16,23.17,704580000.0,N/A,2:1,"Mar 11, 2014",N/A
Rogers Communications Inc.,RCI-B.TO,50.26,50.31,50.40,50.40,"416,869","1,019,640","695,329",1.92,3.81%,3.70%,3.85%,71.14%,"Apr 1, 2016","Mar 9, 2016",0.55,4.36%,-0.94%,50.62,40.72,43.25,43.84,402310000.0,269840000.0,N/A,N/A,24430000.0,24.55,N/A,25900000000.0,43360000000.0,18.84,16.44,3.45,1.93,4.52,3.23,8.77,Dec 31,"Dec 31, 2015",10.30%,19.90%,5.99%,24.60%,13410000000.0,26.05,2.60%,N/A,4950000000.0,1380000000.0,2.67,0.70%,209000000.0,0.41,17670000000.0,307.57,0.52,11.16,3750000000.0,757620000.0,2:1,"Dec 27, 2006",N/A
Ag Growth International Inc.,AFN.TO,37.99,38.30,38.64,38.50,"111,386","108,211","87,988",2.40,6.21%,6.20%,6.17%,N/A,"Apr 15, 2016","May 26, 2016",1.62,-26.36%,-0.94%,55.04,24.68,32.79,31.49,14450000.0,13950000.0,N/A,N/A,757920.0,3.10,N/A,552160000.0,873040000.0,N/A,15.04,1.80,1.31,2.15,2.06,19.12,Dec 31,"Sep 30, 2015",-5.50%,7.49%,3.35%,-9.56%,423360000.0,31.12,9.30%,N/A,45650000.0,-23280000.0,-1.71,N/A,33340000.000000004,2.32,356980000.0,138.55,2.86,17.94,37620000.0,-46380000.0,N/A,N/A,N/A
Canadian Energy Services & Technology Corp.,CEU.TO,3.36,3.40,3.44,3.36,"479,822","823,244","723,688",0.03,0.87%,7.70%,4.54%,N/A,"Apr 15, 2016","Mar 29, 2016",1.93,-50.66%,-0.94%,7.90,2.85,3.28,4.19,220650000.0,189210000.0,N/A,N/A,7770000.0,8.26,N/A,741400000.0,1030000000.0,18.67,168.00,-1.71,0.87,1.20,1.19,9.66,Dec 31,"Sep 30, 2015",4.74%,6.46%,3.31%,7.29%,863330000.0,3.98,-31.20%,N/A,106390000.0,40940000.0,0.18,-69.20%,21220000.0,0.10,312710000.0,49.92,4.00,2.86,187980000.0,48580000.0,3:1,"Jul 24, 2014",N/A
Cineplex Inc.,CGX.TO,50.72,51.00,50.67,50.28,"76,347","136,340","94,225",1.56,3.08%,3.10%,3.85%,72.50%,"Apr 29, 2016","Mar 29, 2016",0.45,3.62%,-0.94%,51.50,42.00,50.28,48.99,63380000.0,63020000.0,16.68%,35.50%,1130000.0,9.45,N/A,3230000000.0,3540000000.0,24.03,N/A,N/A,2.34,4.18,2.58,14.58,Dec 31,"Dec 31, 2015",9.82%,11.19%,5.79%,17.85%,1370000000.0,21.73,22.60%,N/A,242780000.0,134700000.0,2.12,140.60%,35710000.0,0.56,347390000.0,44.97,0.44,12.11,230590000.0,144860000.0,N/A,N/A,N/A
First Capital Realty Inc.,FCR.TO,20.31,20.37,20.26,20.20,"130,915","371,552","567,338",0.86,4.24%,4.20%,4.55%,99.50%,"Apr 12, 2016","Dec 24, 2015",0.60,2.52%,-0.94%,20.87,16.93,20.26,19.31,229070000.0,121890000.0,N/A,N/A,2510000.0,9.20,N/A,4660000000.0,8430000000.0,22.43,N/A,N/A,6.69,1.26,12.35,20.95,Dec 31,"Dec 31, 2015",29.85%,58.50%,3.09%,5.69%,683070000.0,3.05,1.90%,N/A,402510000.0,203870000.0,0.91,-13.10%,21070000.0,0.09,3870000000.0,105.36,0.38,16.14,244430000.0,303420000.0,32:20,"May 25, 2010",N/A
Labrador Iron Ore Royalty Corporation,LIF.TO,13.28,13.38,13.90,13.77,"112,595","385,441","356,600",1.00,7.19%,7.20%,N/A,117.65%,"Apr 25, 2016","Mar 29, 2016",2.27,9.39%,-0.94%,17.45,6.85,11.90,12.05,64000000.0,63290000.0,N/A,N/A,1550000.0,2.87,N/A,849920000.0,820790000.0,15.11,15.44,-0.49,8.37,1.54,7.81,N/A,Dec 31,"Sep 30, 2015",53.80%,72.91%,6.49%,9.72%,105160000.0,1.63,4.30%,N/A,N/A,56570000.0,0.88,-34.40%,20490000.0,0.32,0.0,N/A,2.25,9.04,57850000.0,36470000.0,2:1,"Jun 28, 2011",May 5 - May 9 (Est.)
Student Transportation Inc.,STB.TO,6.28,6.31,6.29,6.29,"152,943","265,021","215,162",0.61,9.67%,9.30%,9.18%,937.39%,"Apr 15, 2016","Jun 28, 2016",0.68,-5.57%,-0.94%,6.99,4.28,6.52,5.54,96590000.0,84010000.0,N/A,N/A,3660000.0,14.63,N/A,608510000.0,N/A,126.00,45.00,N/A,1.07,3.46,NaN,N/A,Jun 30,"Dec 31, 2015",0.85%,3.95%,2.49%,3.04%,569530000.0,6.06,6.30%,N/A,73780000.0,4860000.0,0.05,56.40%,473000.0,0.01,280560000.0,158.21,2.11,1.82,52530000.0,-15790000.0,N/A,N/A,May 9 - May 13 (Est.)
"Royal Gold, Inc.",RGL.TO,69.43,70.16,68.44,69.09,"15,840","16,744","21,313",1.20,1.75%,0.40%,1.16%,585.31%,"Apr 15, 2016","Mar 30, 2016",2.54,-9.27%,-0.94%,82.49,35.46,66.29,56.55,62260000.0,61720000.0,N/A,N/A,397270.0,24.31,0.64%,4340000000.0,4900000000.0,461.99,47.14,N/A,13.32,1.94,15.33,21.64,Jun 30,"Dec 31, 2015",3.09%,33.79%,2.22%,0.38%,319860000.0,4.92,60.10%,N/A,226620000.0,9900000.0,0.15,N/A,117600000.0,1.89,677490000.0,28.68,7.94,35.36,164420000.0,-782600000.0,N/A,N/A,N/A
Bellatrix Exploration Ltd.,BXE.TO,1.24,1.26,1.26,1.23,"680,085","1,058,570","829,625",N/A,N/A,N/A,N/A,N/A,N/A,"Jan 28, 2009",2.33,-68.67%,-0.94%,4.03,1.11,1.44,1.76,191960000.0,106280000.0,7.83%,43.30%,12040000.0,4.88,N/A,239960000.0,901680000.0,N/A,N/A,-0.37,0.71,0.21,2.65,4.90,Dec 31,"Sep 30, 2015",-9.63%,-15.51%,-1.59%,-2.78%,340080000.0,1.77,-33.00%,N/A,184110000.0,-32750000.0,-0.17,N/A,10480000.0,0.06,672210000.0,57.67,0.63,6.07,151500000.0,-239520000.0,1:2,"Nov 7, 2005",N/A
Restaurant Brands International Inc.,QSR.TO,51.36,51.40,50.25,50.33,"320,693","459,627","369,788",0.73,1.45%,1.30%,N/A,201.58%,"Apr 4, 2016","Mar 1, 2016",N/A,10.11%,-0.94%,58.83,40.75,50.17,48.45,225710000.0,186520000.0,N/A,N/A,2700000.0,4.59,1.35%,11600000000.0,19560000000.0,102.78,33.37,3.06,2.80,8.49,4.83,12.50,Dec 31,"Dec 31, 2015",9.26%,34.14%,4.37%,7.40%,4050000000.0,19.91,153.90%,N/A,1570000000.0,103900000.0,0.50,159.10%,757800000.0,3.36,8720000000.0,140.45,1.22,5.92,1200000000.0,1230000000.0,N/A,N/A,Apr 25 - Apr 29 (Est.)
Cameco Corporation,CCO.TO,15.98,16.00,16.23,16.13,"696,437","1,101,060","1,022,240",0.40,2.46%,2.50%,1.93%,250.00%,"Apr 15, 2016","Mar 29, 2016",1.31,-19.32%,-0.94%,21.44,14.56,16.39,16.66,395790000.0,395310000.0,4.51%,99.80%,4850000.0,2.15,N/A,6330000000.0,7360000000.0,99.94,10.88,0.41,2.33,1.16,2.67,9.49,Dec 31,"Dec 31, 2015",2.37%,16.05%,3.20%,1.15%,2750000000.0,6.96,9.70%,N/A,775580000.0,65290000.00000001,0.16,N/A,458600000.0,1.16,1490000000.0,26.91,3.25,14.02,450010000.0,162910000.0,2:1,"Feb 15, 2006",Apr 27 - May 2 (Est.)
The Bank of Nova Scotia,BNS.TO,63.55,63.65,63.88,63.65,"1,536,397","2,479,430","1,760,440",2.80,4.38%,4.40%,3.96%,48.78%,"Apr 27, 2016","Dec 31, 2015",1.40,-3.95%,-0.94%,67.44,51.17,61.65,58.72,1200000000.0,1200000000.0,N/A,N/A,50850000.0,17.69,N/A,76510000000.0,-88650000000.0,11.23,10.28,1.45,3.48,1.57,-4.01,N/A,Oct 31,"Oct 31, 2015",31.72%,41.02%,0.87%,14.05%,22110000000.0,18.27,7.80%,N/A,N/A,6900000000.0,5.67,29.90%,295160000000.0,245.34,129949999999.99998,N/A,N/A,40.80,-68000000.0,N/A,2:1,"Apr 2, 2004",N/A
AltaGas Ltd.,ALA.TO,31.86,32.00,32.82,32.62,"377,145","326,646","253,625",1.98,6.03%,5.90%,4.34%,"2,640.91%","May 16, 2016","Mar 23, 2016",0.90,-24.29%,-0.94%,42.46,27.09,32.70,32.10,146920000.0,141870000.0,N/A,N/A,2580000.0,9.47,N/A,4680000000.0,7600000000.0,59.15,23.61,-23.16,2.10,1.49,3.34,13.47,Dec 31,"Sep 30, 2015",5.05%,15.69%,2.60%,3.25%,2270000000.0,16.87,-0.60%,N/A,563900000.0,74400000.0,0.54,14.00%,409900000.0,2.82,3370000000.0,83.98,1.25,22.03,508500000.0,-170950000.0,N/A,N/A,N/A
H&R REIT,HR-UN.TO,21.77,21.83,21.51,21.51,"611,967","421,341","426,867",1.35,6.28%,5.80%,5.19%,91.55%,"Apr 28, 2016","Mar 14, 2016",0.78,-1.25%,-0.94%,25.27,20.73,22.53,23.12,280600000.0,265700000.0,N/A,N/A,1270000.0,2.23,N/A,6480000000.0,13230000000.0,17.73,N/A,N/A,5.37,0.93,11.12,N/A,Dec 31,"Dec 31, 2015",28.60%,64.33%,3.50%,5.10%,1190000000.0,4.30,-19.80%,N/A,N/A,340150000.0,1.23,N/A,38290000.0,0.13,6800000000.0,99.62,0.11,23.04,771540000.0,527980000.0,N/A,N/A,N/A
